Region,Buyer,Supplier,Specific Part Name
Americas,Nissan,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
Americas,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Japan,Honda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Vacuum brake line
Japan,Suzuki,Nichirin Co. Ltd.,Brake hose
Americas,GM,Cooper-Standard Holdings Inc.,Vacuum hose
Americas,Volkswagen,Flexitech Inc.,Brake hose
Americas,Volkswagen,Continental AG,Brake hose
Japan,Suzuki,Kinugawa Rubber Industrial Co. Ltd.,Vacuum hose
Americas,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose assembly
ASEAN・India・Korea,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
China,Zhengzhou Nissan,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Japan,Suzuki,Nichirin Co. Ltd.,Vacuum brake hose
Americas,Honda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Renault,Flexitech Inc.,Brake hose
Europe,Audi,Flexitech Europe SAS,Front brake hose
Americas,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Vacuum brake hose assembly
Europe,Alfa Romeo,Continental Automotive Technologies GmbH - World HQ + Flankfurt Plant (Formerly Continental Teves AG & Co. oHG),Front brake hose
ASEAN・India・Korea,Kia,Cooper Standard Automotive India Pvt. Ltd.,Brake line
Japan,Mazda,Meiji Flow Systems Co. Ltd.,Brake hose
Europe,Renault,Flexitech Inc.,Front brake hose
Americas,Dodge,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Mitsubishi,Sankyo Gum Co. Ltd.,Brake hose
Europe,Opel,Hutchinson S.A.,Brake hose
Japan,Suzuki,Meiji Flow Systems Co. Ltd.,Brake hose
Americas,Jeep,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Tesla,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
