Region,Buyer,Supplier,Specific Part Name
China,Dongfeng Honda,Yamashita Rubber (Zhongshan) Co. Ltd.,Fuel hose
ASEAN・India・Korea,Isuzu,Inoac Tokai (Thailand) Co. Ltd.,Fuel hose
China,Geely,Aptiv (China) Investment Co. Ltd.,Fuel supply hose
China,FAW Toyota,Tokai Rubber (Tianjin) Co. Ltd.,Fuel hose
China,FAW Toyota,Tokai Dalian Hose Co. Ltd.,Fuel hose(1.3L)(CVT)
China,FAW Toyota,Tokai Dalian Hose Co. Ltd.,Fuel hose(1.2T)(8CVT)
China,Dongfeng Nissan,Tokai Rubber (Guangzhou) Co. Ltd.,Fuel hose
ASEAN・India・Korea,Mitsubishi,Sankyo Co. Ltd.,Fuel hose
ASEAN・India・Korea,Maruti Suzuki,Sumitomo Riko Co. Ltd. (Formerly Tokai Rubber Industries),Fuel hose
Japan,Mitsubishi,Meiji Flow Systems Co. Ltd.,Fuel hose
ASEAN・India・Korea,Maruti Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Fuel hose
Americas,BMW,Fraenkische Rohrwerke Gebr. Kirchner GmbH & Co. KG,Corrugated fuel lines
ASEAN・India・Korea,Mahindra & Mahindra,Imperial Auto Industries Ltd.,Fuel hose
ASEAN・India・Korea,Maruti Suzuki,Imperial Auto Industries Ltd.,Fuel hose
Japan,Toyota,Sumitomo Riko Co. Ltd. (Formerly Tokai Rubber Industries),Fuel hose
China,FAW Toyota,Tokai Dalian Hose Co. Ltd.,Fuel hose(2.0T)(8AMT)
Japan,Nissan,Inoac Tokai (Thailand) Co. Ltd.,Fuel hose
Americas,Ford,Martinrea International Inc.,Fuel hose
Japan,Daihatsu,Marugo Rubber Industries Ltd.,Fuel hose
Japan,Mitsubishi Fuso,Marugo Rubber Industries Ltd.,Fuel hose
ASEAN・India・Korea,Mitsubishi,Inoac Tokai (Thailand) Co. Ltd.,Fuel hose
China,FAW Toyota,Tokai Dalian Hose Co. Ltd.,Fuel hose(1.3L)(5MT)
ASEAN・India・Korea,Honda,Toyoda Gosei Rubber (Thailand) Co. Ltd.,Fuel hose
ASEAN・India・Korea,Nissan,Imperial Auto Industries Ltd.,Fuel hose
Japan,Nissan,Togawa Rubber Co. Ltd.,Fuel hose
ASEAN・India・Korea,Mitsubishi,Usui International Corporation (Thailand) Ltd.,Fuel cooler
ASEAN・India・Korea,Daihatsu,PT. Tokai Rubber Auto Hose Indonesia,Fuel hose
Japan,Nissan,Marugo Rubber Industries Ltd.,Fuel hose
Europe,BMW,Continental AG,Fuel hose
Europe,Toyota,Teklas Kaucuk San. Ve Tic. A.S.,Fuel hose
ASEAN・India・Korea,Toyota,Inoac Tokai (Thailand) Co. Ltd.,Fuel hose
China,GAC Honda,Yamashita Rubber (Zhongshan) Co. Ltd.,Fuel hose
ASEAN・India・Korea,Toyota,Toyoda Gosei (Thailand) Co. Ltd.,Fuel hose
Japan,Daihatsu,Toyoda Gosei Co. Ltd.,Fuel hose (rubber hose/plastic pipe)
Japan,UD Trucks,Marugo Rubber Industries Ltd.,Fuel hose
ASEAN・India・Korea,Mitsubishi,Marugo Rubber Industries Ltd.,Fuel hose
Japan,Mitsubishi,Sankyo Co. Ltd.,Fuel hose
Americas,Nissan,Fraenkische USA LP,Corrugated fuel lines
ASEAN・India・Korea,Tata,Imperial Auto Industries Ltd.,Fuel hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Fuel hose(G16E-GTS)
Americas,Daimler,Fraenkische USA LP,Fuel vent line assembly
ASEAN・India・Korea,Maruti Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),CNG hose
ASEAN・India・Korea,Mitsubishi,Marugo Rubber (Thailand) Co. Ltd. (Formerly Asian Rubber Parts Co. Ltd.),Fuel hose
Europe,Daimler,Veritas AG,Fuel hose
China,FAW Toyota,Tokai Dalian Hose Co. Ltd.,Fuel hose(2.5L)(6AMT)
Japan,Honda,Sumitomo Riko Co. Ltd. (Formerly Tokai Rubber Industries),Fuel hose
Japan,Nissan,Federal-Mogul Holdings LLC,Fuel hose
Japan,Suzuki,Marugo Rubber Industries Ltd.,Fuel hose
Japan,Mitsubishi,Inoac Tokai (Thailand) Co. Ltd.,Fuel hose
ASEAN・India・Korea,Hyundai,Imperial Auto Industries Ltd.,Fuel hose
ASEAN・India・Korea,Subaru,Marugo Rubber (Thailand) Co. Ltd. (Formerly Asian Rubber Parts Co. Ltd.),Fuel hose
China,FAW Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Fuel hose
China,GAC Toyota,Tokai Rubber (Guangzhou) Co. Ltd.,Fuel hose
China,GAC Honda,Tokai Rubber (Guangzhou) Co. Ltd.,Fuel hose
Japan,Subaru,Marugo Rubber Industries Ltd.,Fuel hose
Americas,GM,Fraenkische USA LP,Corrugated fuel lines
Japan,Toyota,Marugo Rubber Industries Ltd.,Fuel hose
ASEAN・India・Korea,Toyota,Imperial Auto Industries Ltd.,Fuel hose
Japan,Suzuki,Toyoda Gosei Co. Ltd.,Fuel hose (rubber hose/plastic pipe)
Japan,Mitsubishi,Marugo Rubber Industries Ltd.,Fuel hose
Japan,Mazda,Marugo Rubber Industries Ltd.,Fuel hose
Europe,Citroen,OPmobility SE (Formerly Compagnie Plastic Omnium SE),Fuel hose
China,Geely,Shanghai Chinaust Automotive Plastics Corp. Ltd.,Fuel hose
China,FAW-Volkswagen,TI Automotive Systems (Changchun) Co. Ltd.,Fuel hose
China,GAC Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Fuel hose
China,GAC Honda,Guangzhou Maruyasu Pipeline System Co. Ltd.,Fuel hose
Europe,Opel,Veritas AG,Fuel hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Fuel hose (rubber hose/plastic pipe)
China,Dongfeng Peugeot Citroen,Hutchinson (Wuhan) Automotive Rubber Products Co. Ltd.,Fuel hose
China,FAW-Volkswagen,ContiTech Fluid Technology (Changchun) Co. Ltd. (Formerly ContiTech Grand Ocean Fluid (Changchun) Co. Ltd.),Low pressure fuel hose
