Region,Buyer,Model,Model Year,Supplier,text
Europe,Mercedes-Benz,E-Class (Germany),2024,Continental AG,Front brake hose
Europe,Mercedes-Benz,E-Class (Germany),2024,Continental AG,Rear brake hose
Americas,Mercedes-Benz,EQE SUV (USA),2024,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Polestar,Polestar 3 (USA),2024,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Rivian,R1S (USA),2024,TI Automotive LLC,Brake line
Americas,Rivian,R1T (USA),2024,TI Automotive LLC,Brake line
Japan,Subaru,BRZ,2024,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Toyota,GR86,2024,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Volvo Cars,Volvo EX90 (USA),2024,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,BMW,i5 (Germany),2023,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,Dongfeng Honda,Honda Civic (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Civic e:HEV (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Civic Hatchback e:HEV (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Civic Hatchback Sport Turbo (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V (4WD) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V Black Edition (4WD) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V Black Edition (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V e:PHEV (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V Sport Hybrid (4WD) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda CR-V Sport Hybrid (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda e:NS1 (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Elysion e:HEV (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Envix (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda Envix Sport Hybrid (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Dongfeng Honda,Honda HR-V (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
