,Date,HS Code,Description,Origin Country,Port of Discharge,Unit,Quantity,Total Value (USD),Price Per Unit (USD)
0,Nov222016,73044100,"10X1.5X1504 TUBING, BC (787907) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,732,24.41
1,Nov222016,73044100,"12X1.5X1853 TUBING,PB (787908) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,853,28.44
2,Nov222016,73044100,"12X1.5X1357 TUBING,UL(787909) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,695,23.18
3,Nov222016,73044100,"12X1.5X1528 TUBING,2(787910) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,811,27.03
4,Nov222016,73044100,"12X1.5X1533 TUBING,1(787911) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,811,27.02
5,Nov222016,73044100,18X1.5X1377 TUBING AUX (787912) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION),Germany,Delhi Air Cargo,PCS,30,"1,004",33.46
6,Nov222016,73044100,"35X2X1439 TUBING,FP (787914) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,"1,711",57.03
7,Nov222016,73044100,"22X1.5X1265 TUBING,MREP (787915) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,925,30.84
8,Nov222016,73044100,"35X2X1199 TUBING,MR (787916) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,"1,361",45.37
9,Nov222016,73044100,"28X1.5X1037 TUBING,821V V(787917) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,"1,125",37.50
10,Nov222016,73044100,"12X1.5X928 TUBING,21 EPCU (787918)(PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,469,15.62
11,Nov222016,73044100,"10X1.5X1002 TUBING,FLMR (787921) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,558,18.59
12,Nov222016,73044100,"15X1.5X1478 TUBING,AC (787903) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,945,31.49
13,Nov222016,73044100,"12X1.5X649 TUBING,21 AUX (787906) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,415,13.84
14,Nov222016,73044100,"10X1.5X1839 TUBING,FLM (788435) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE OCNSUMPTION)",Germany,Delhi Air Cargo,PCS,30,812,27.07
15,Nov222016,73044100,"10X1.5X1341 TUBING,FLBP (787920) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,833,27.75
16,Nov222016,73044100,"12X1.5X1323 TUBING,3(787905) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,690,22.99
17,Nov222016,73044100,"10X1.5X405 TUBING,IBS (787913) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,264,8.79
18,Nov222016,73044100,"10X1.5X358 TUBING,4L(787919) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,250,8.33
19,Nov222016,73044100,"12X1.5X1326 TUBING,10(787904) (PART OF RAIL BRAKE SYSTEM) (FOR CAPTIVE CONSUMPTION)",Germany,Delhi Air Cargo,PCS,30,725,24.18
