Buyer,Seller,Frequency,Seller Country,Top 500
Toyota,Aisin Corporation (Formerly Aisin Seiki Co. Ltd.),2,Japan,TRUE
Tata,Autoneum India Pvt. Ltd.,1,India,FALSE
Hyundai,BASF S.A.,1,Brazil,FALSE
BMW Brilliance,Beijing West Industries Co. Ltd.,6,China,FALSE
Dongfeng Honda,Beijing West Industries Co. Ltd.,3,China,FALSE
Ferrari,Beijing West Industries Co. Ltd.,3,China,FALSE
BMW,Beijing West Industries Co. Ltd.,1,China,FALSE
SAIC Volkswagen,Beijing West Industries Co. Ltd.,1,China,FALSE
Honda,Beijing West Industries Co. Ltd.,2,China,FALSE
GM,Beijing West Industries Co. Ltd.,2,China,FALSE
Volvo Cars,Beijing West Industries Co. Ltd.,1,China,FALSE
Ford,BWI North America Inc.,1,USA,FALSE
GM,BWI North America Inc.,2,USA,FALSE
FAW Car,Changchun Beite Automotive Parts Co. Ltd.,4,China,FALSE
FAW Haima,Changchun Beite Automotive Parts Co. Ltd.,4,China,FALSE
FAW Toyota,Changchun Beite Automotive Parts Co. Ltd.,8,China,FALSE
FAW-Volkswagen,Changchun Beite Automotive Parts Co. Ltd.,2,China,FALSE
Ford,Changchun Beite Automotive Parts Co. Ltd.,1,China,FALSE
Geely,Changchun Beite Automotive Parts Co. Ltd.,2,China,FALSE
JAC,Changchun Beite Automotive Parts Co. Ltd.,1,China,FALSE
SAIC Passenger Vehicle,Changchun Beite Automotive Parts Co. Ltd.,3,China,FALSE
Tianjin FAW Xiali,Changchun Beite Automotive Parts Co. Ltd.,10,China,FALSE
Chery,Chengdu Mingran Intelligent Technology Co. Ltd.,3,China,FALSE
Changan Ford,Chengdu Ningjiang Showa Autoparts Co. Ltd.,1,China,FALSE
Changan Mazda,Chengdu Ningjiang Showa Autoparts Co. Ltd.,4,China,FALSE
Changan Suzuki,Chengdu Ningjiang Showa Autoparts Co. Ltd.,6,China,FALSE
Changhe Suzuki,Chengdu Ningjiang Showa Autoparts Co. Ltd.,1,China,FALSE
Daihatsu,Chengdu Ningjiang Showa Autoparts Co. Ltd.,1,China,FALSE
Changan Ford,Chongqing Beite Technology Co. Ltd.,1,China,FALSE
Changan Mazda,Chongqing Beite Technology Co. Ltd.,4,China,FALSE
Changan Suzuki,Chongqing Beite Technology Co. Ltd.,6,China,FALSE
Changhe Suzuki,Chongqing Beite Technology Co. Ltd.,1,China,FALSE
Daihatsu,Chongqing Beite Technology Co. Ltd.,1,China,FALSE
FAW-Volkswagen,Chongqing Beite Technology Co. Ltd.,2,China,FALSE
DFSK,Chongqing Yu'an Shock Absorber Co. Ltd.,8,China,FALSE
NIO,Clear Motion Inc.,1,USA,FALSE
Dongfeng Liuzhou Motor,CNC Driveline Technology Co. Ltd. (Formerly Zhuhai China And Canton Clutch Co. Ltd.),3,China,FALSE
Volkswagen,Continental AG,1,Germany,TRUE
Daimler,Continental AG,7,Germany,TRUE
Ram Trucks,Continental AG,1,Germany,TRUE
Volvo Cars,Continental AG,1,Germany,TRUE
Volkswagen,Continental Temic Electronics (Phil) Inc.,1,Philippines,FALSE
GM,ContiTech AG,1,Germany,FALSE
Ram Trucks,Dana Incorporated (Formerly Dana Holding Corporation),1,United States of America,TRUE
Rivian,EFC International,1,USA,FALSE
FAW Toyota,FAW-Tokico Shock Absorber Co. Ltd.,2,China,FALSE
