Region,Buyer,Supplier,Specific Part Name
ASEAN・India・Korea,Maruti Suzuki,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ram Trucks,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Americas,BMW,Flexitech Europe SAS,Front brake hose
Japan,Peugeot,Meiji Flow Systems Co. Ltd.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(E-CVT)
Europe,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Audi,FTE automotive GmbH,Rear brake hose
China,NIO,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
ASEAN・India・Korea,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ford,Continental AG,Brake hose
ASEAN・India・Korea,Tata,Rane Brake Lining Ltd.,Brake Lining [Front & Rear]
Americas,Chrysler,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),Brake hose
Europe,Opel,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
Americas,Polestar,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Porsche,Cooper-Standard Holdings Inc.,Brake line
ASEAN・India・Korea,Mazda,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Audi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Renault,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Citroen,Flexitech Inc.,Brake hose
ASEAN・India・Korea,Toyota,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Americas,Ford,Martinrea Slovakia Fluid Systems s.r.o.,Brake line
Americas,Toyota,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
Europe,Nissan,Cikautxo S. Coop.,Vacuum hose
ASEAN・India・Korea,Nissan,Nichirin (Thailand) Co. Ltd.,Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Brake line
Americas,Volkswagen,Flexitech Inc.,Brake hose assembly
Americas,GM,Cooper-Standard Holdings Inc.,Vacuum hose
Americas,Tesla,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
Europe,Citroen,Flexitech Inc.,Front brake hose
